ColorName,NumOfColors,Type,CritVal,ColorNum,ColorLetter,C,M,Y,K,SchemeType
Accent,3,qual,,1,A,50,0,50,0,Qualitative
,,,,2,B,25,25,0,0,
,,,,3,C,0,25,40,0,
Accent,4,qual,,1,A,50,0,50,0,
,,,,2,B,25,25,0,0,
,,,,3,C,0,25,40,0,
,,,,4,D,0,0,40,0,
Accent,5,qual,,1,A,50,0,50,0,
,,,,2,B,25,25,0,0,
,,,,3,C,0,25,40,0,
,,,,4,D,0,0,40,0,
,,,,5,E,80,40,0,0,
Accent,6,qual,,1,A,50,0,50,0,
,,,,2,B,25,25,0,0,
,,,,3,C,0,25,40,0,
,,,,4,D,0,0,40,0,
,,,,5,E,80,40,0,0,
,,,,6,F,0,100,0,0,
Accent,7,qual,,1,A,50,0,50,0,
,,,,2,B,25,25,0,0,
,,,,3,C,0,25,40,0,
,,,,4,D,0,0,40,0,
,,,,5,E,80,40,0,0,
,,,,6,F,0,100,0,0,
,,,,7,G,25,60,90,0,
Accent,8,qual,,1,A,50,0,50,0,
,,,,2,B,25,25,0,0,
,,,,3,C,0,25,40,0,
,,,,4,D,0,0,40,0,
,,,,5,E,80,40,0,0,
,,,,6,F,0,100,0,0,
,,,,7,G,25,60,90,0,
,,,,8,H,0,0,0,60,
Blues,3,seq,,1,C,13,3,0,0,Sequential
,,,,2,F,38,8,0,0,
,,,,3,I,82,27,0,0,
Blues,4,seq,,1,B,8,2,0,0,
,,,,2,E,28,7,0,0,
,,,,3,G,57,14,0,0,
,,,,4,J,90,34,0,0,
Blues,5,seq,,1,B,8,2,0,0,
,,,,2,E,28,7,0,0,
,,,,3,G,57,14,0,0,
,,,,4,I,82,27,0,0,
,,,,5,K,100,45,0,7,
Blues,6,seq,,1,B,8,2,0,0,
,,,,2,D,24,6,0,0,
,,,,3,F,38,8,0,0,
,,,,4,G,57,14,0,0,
,,,,5,I,82,27,0,0,
,,,,6,K,100,45,0,7,
Blues,7,seq,,1,B,8,2,0,0,
,,,,2,D,24,6,0,0,
,,,,3,F,38,8,0,0,
,,,,4,G,57,14,0,0,
,,,,5,H,75,22,0,0,
,,,,6,J,90,34,0,0,
,,,,7,L,100,55,0,5,
Blues,8,seq,,1,A,3,1,0,0,
,,,,2,C,13,3,0,0,
,,,,3,D,24,6,0,0,
,,,,4,F,38,8,0,0,
,,,,5,G,57,14,0,0,
,,,,6,H,75,22,0,0,
,,,,7,J,90,34,0,0,
,,,,8,L,100,55,0,5,
Blues,9,seq,,1,A,3,1,0,0,
,,,,2,C,13,3,0,0,
,,,,3,D,24,6,0,0,
,,,,4,F,38,8,0,0,
,,,,5,G,57,14,0,0,
,,,,6,H,75,22,0,0,
,,,,7,J,90,34,0,0,
,,,,8,K,100,45,0,7,
,,,,9,M,100,55,0,30,
BrBG,3,div,2,1,E,15,25,55,0,Diverging
,,,,2,H,0,0,0,5,
,,,,3,K,65,5,23,0,
BrBG,4,div,2.5,1,C,35,55,90,0,
,,,,2,F,12,20,45,0,
,,,,3,J,50,0,17,0,
,,,,4,M,100,10,55,0,
